name,name_no_mark,generic_terms,type
3D Touch®,3D Touch,interface,trademark
Afterburner®,Afterburner,accelerator cards,trademark
AirDrop®,AirDrop,software feature,trademark
AirMac®,AirMac,wireless hardware/software solution,trademark
AirPlay®,AirPlay,software feature,trademark
AirPlay Logo™,AirPlay Logo,NA,trademark
AirPods®,AirPods,wireless headphones,trademark
AirPods Max™,AirPods Max,wireless headphones,trademark
AirPods Pro®,AirPods Pro,wireless headphones,trademark
AirPort®,AirPort,wireless hardware/software solution,trademark
AirPort Express®,AirPort Express,wireless hardware/software solution,trademark
AirPort Extreme®,AirPort Extreme,wireless hardware/software solution,trademark
AirPort Time Capsule®,AirPort Time Capsule,wireless hard drive/Wi-Fi base station,trademark
AirPower®,AirPower,charging devices,trademark
AirPrint®,AirPrint,software feature,trademark
AirTag™,AirTag,accessories,trademark
AirTunes™,AirTunes,application program,trademark
Animoji®,Animoji,messaging feature,trademark
Aperture®,Aperture,application program,trademark
App Clip Code™,App Clip Code,visual code,trademark
App Clips™,App Clips,software,trademark
Apple®,Apple,"computers, computer software, computer peripherals, etc.",trademark
Apple logo®,Apple logo,NA,trademark
Apple Books®,Apple Books,application program,trademark
Apple Card®,Apple Card,credit card,trademark
Apple CarPlay®,Apple CarPlay,software feature,trademark
Apple Cash®,Apple Cash,software feature,trademark
Apple Cinema Display®,Apple Cinema Display,computer monitor,trademark
AppleLink™,AppleLink,communication network/computer software,trademark
Apple Music®,Apple Music,streaming service and application,trademark
Apple Pay®,Apple Pay,mobile payments solution,trademark
Apple Pencil®,Apple Pencil,computer input device,trademark
Apple Pro Display XDR®,Apple Pro Display XDR,computer monitors,trademark
Apple ProRAW®,Apple ProRAW,camera feature,trademark
Apple ProRes™,Apple ProRes,software feature,trademark
Apple Remote Desktop™,Apple Remote Desktop,remote desktop software,trademark
AppleScript®,AppleScript,application program,trademark
AppleScript Studio™,AppleScript Studio,development software,trademark
AppleShare®,AppleShare,server software,trademark
Apple Studio Display™,Apple Studio Display,computer monitor,trademark
AppleTalk®,AppleTalk,network system,trademark
Apple TV®,Apple TV,digital media extender,trademark
AppleVision™,AppleVision,computer display,trademark
Apple Wallet®,Apple Wallet,application program,trademark
Apple Watch®,Apple Watch,wrist wearable device,trademark
Apple Watch SE®,Apple Watch SE,wrist wearable device,trademark
Apple Watch Edition™,Apple Watch Edition,wrist wearable device,trademark
Apple Watch Sport™,Apple Watch Sport,wrist wearable device,trademark
Apple Watch Ultra™,Apple Watch Ultra,wrist wearable device,trademark
AppleWorks®,AppleWorks,application program,trademark
App Nap®,App Nap,software feature,trademark
Aqua®,Aqua,user interface,trademark
ARKit®,ARKit,developer software,trademark
AssistiveTouch®,AssistiveTouch,software feature,trademark
Back to My Mac®,Back to My Mac,software feature,trademark
Bonjour®,Bonjour,networking technology,trademark
Bonjour logo®,Bonjour logo,NA,trademark
Boot Camp®,Boot Camp,application program,trademark
Carbon®,Carbon,software technology,trademark
CareKit®,CareKit,software framework,trademark
CarPlay®,CarPlay,software feature,trademark
Center Stage™,Center Stage,software feature,trademark
Ceramic Shield®,Ceramic Shield,front cover,trademark
Charcoal®,Charcoal,computer font,trademark
Chicago®,Chicago,computer font,trademark
ChromaVerb®,ChromaVerb,application feature,trademark
Cinema Tools™,Cinema Tools,application program,trademark
Claris®,Claris,software,trademark
Cocoa®,Cocoa,software technology,trademark
Cocoa Touch®,Cocoa Touch,software technology,trademark
ColorSync®,ColorSync,application program,trademark
ColorSync logo®,ColorSync logo,NA,trademark
Core ML®,Core ML,developer software,trademark
Cover Flow®,Cover Flow,application program,trademark
Dashcode®,Dashcode,developer software,trademark
Deep Fusion™,Deep Fusion,camera feature,trademark
Digital Crown®,Digital Crown,input device,trademark
DVD@CCESS™,DVD@CCESS,software feature,trademark
DVD Studio Pro®,DVD Studio Pro,application program,trademark
Dynamic Island™,Dynamic Island,hardware and software feature,trademark
EarPods®,EarPods,headphones,trademark
Educator Advantage™,Educator Advantage,marketing program,trademark
eMac™,eMac,computer,trademark
EnVerb®,EnVerb,application feature,trademark
EtherTalk™,EtherTalk,interface card/network,trademark
Exposé®,Exposé,computer software,trademark
Face ID®,Face ID,secure authentication,trademark
FaceTime®,FaceTime,voice and video calling,trademark
FairPlay®,FairPlay,software technology,trademark
FileVault®,FileVault,application program,trademark
Final Cut®,Final Cut,application program,trademark
Final Cut Pro®,Final Cut Pro,application program,trademark
Final Cut Studio™,Final Cut Studio,application program,trademark
Find My®,Find My,software feature,trademark
Finder®,Finder,operating system software,trademark
